    1   0.000000    10.0.2.15 → 140.82.113.3 TCP 74 49100 → 21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1882380380 TSecr=0 WS=128
    2   1.033944    10.0.2.15 → 140.82.113.3 TCP 74 44506 → 22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1882381414 TSecr=0 WS=128
    3   1.065570 140.82.113.3 → 10.0.2.15    TCP 60 22 → 44506 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460
    4   1.065632    10.0.2.15 → 140.82.113.3 TCP 54 44506 → 22 [ACK] Seq=1 Ack=1 Win=64240 Len=0
    5   1.098073 140.82.113.3 → 10.0.2.15    SSH 79 Server: Protocol (SSH-2.0-babeld-474b2384)
    6   1.098131    10.0.2.15 → 140.82.113.3 TCP 54 44506 → 22 [ACK] Seq=1 Ack=26 Win=64215 Len=0
    7   2.101246    10.0.2.15 → 140.82.113.3 TCP 54 44506 → 22 [FIN, ACK] Seq=1 Ack=26 Win=64215 Len=0
    8   2.101800 140.82.113.3 → 10.0.2.15    TCP 60 22 → 44506 [ACK] Seq=26 Ack=2 Win=65535 Len=0
    9   2.128826 140.82.113.3 → 10.0.2.15    TCP 60 22 → 44506 [FIN, ACK] Seq=26 Ack=2 Win=65535 Len=0
   10   2.128917    10.0.2.15 → 140.82.113.3 TCP 54 44506 → 22 [ACK] Seq=2 Ack=27 Win=64215 Len=0
   11   2.130296    10.0.2.15 → 140.82.113.3 TCP 74 51034 → 23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1882382511 TSecr=0 WS=128
   12   3.174991    10.0.2.15 → 140.82.113.3 TCP 74 [TCP Retransmission] 51034 → 23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1882383555 TSecr=0 WS=128
   13   3.194604    10.0.2.15 → 140.82.113.3 TCP 74 47708 → 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1882383575 TSecr=0 WS=128
   14   3.195678 140.82.113.3 → 10.0.2.15    TCP 60 25 → 47708 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460
   15   3.195803    10.0.2.15 → 140.82.113.3 TCP 54 47708 → 25 [ACK] Seq=1 Ack=1 Win=64240 Len=0
   16   3.370868    10.0.2.15 → 65.55.44.109 TCP 74 55902 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1233724494 TSecr=0 WS=128
   17   3.410460 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55902 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460
   18   3.410598    10.0.2.15 → 65.55.44.109 TCP 54 55902 → 443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
   19   3.410888    10.0.2.15 → 65.55.44.109 TLSv1 571 Client Hello
   20   3.411489 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55902 [ACK] Seq=1 Ack=518 Win=65535 Len=0
   21   3.444791 65.55.44.109 → 10.0.2.15    TCP 2894 [TCP segment of a reassembled PDU]
   22   3.444884    10.0.2.15 → 65.55.44.109 TCP 54 55902 → 443 [ACK] Seq=518 Ack=2841 Win=62480 Len=0
   23   3.445563 65.55.44.109 → 10.0.2.15    TLSv1.2 980 Server Hello, Certificate, Server Key Exchange, Server Hello Done
   24   3.445603    10.0.2.15 → 65.55.44.109 TCP 54 55902 → 443 [ACK] Seq=518 Ack=3767 Win=63900 Len=0
   25   3.446636    10.0.2.15 → 65.55.44.109 TLSv1.2 147 Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   26   3.447153 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55902 [ACK] Seq=3767 Ack=611 Win=65535 Len=0
   27   3.473034 65.55.44.109 → 10.0.2.15    TLSv1.2 105 Change Cipher Spec, Encrypted Handshake Message
   28   3.473107    10.0.2.15 → 65.55.44.109 TCP 54 55902 → 443 [ACK] Seq=611 Ack=3818 Win=63900 Len=0
   29   3.474807    10.0.2.15 → 65.55.44.109 TLSv1.2 1590 Application Data
   30   3.475347 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55902 [ACK] Seq=3818 Ack=2071 Win=65535 Len=0
   31   3.475457 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55902 [ACK] Seq=3818 Ack=2147 Win=65535 Len=0
   32   3.560272 65.55.44.109 → 10.0.2.15    TLSv1.2 368 Application Data
   33   3.560326    10.0.2.15 → 65.55.44.109 TCP 54 55902 → 443 [ACK] Seq=2147 Ack=4132 Win=63900 Len=0
   34   3.560386 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55902 [FIN, ACK] Seq=4132 Ack=2147 Win=65535 Len=0
   35   3.561125    10.0.2.15 → 65.55.44.109 TLSv1.2 85 Encrypted Alert
   36   3.561352    10.0.2.15 → 65.55.44.109 TCP 54 55902 → 443 [FIN, ACK] Seq=2178 Ack=4133 Win=63900 Len=0
   37   3.561615 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55902 [ACK] Seq=4133 Ack=2178 Win=65535 Len=0
   38   3.561648 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55902 [ACK] Seq=4133 Ack=2179 Win=65535 Len=0
   39   4.199935    10.0.2.15 → 140.82.113.3 TCP 54 47708 → 25 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0
   40   4.200805 140.82.113.3 → 10.0.2.15    TCP 60 25 → 47708 [ACK] Seq=1 Ack=2 Win=65535 Len=0
   41   4.219400    10.0.2.15 → 140.82.113.3 TCP 74 57194 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1882384600 TSecr=0 WS=128
   42   4.250086 140.82.113.3 → 10.0.2.15    TCP 60 80 → 57194 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460
   43   4.250177    10.0.2.15 → 140.82.113.3 TCP 54 57194 → 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
   44   5.259714    10.0.2.15 → 140.82.113.3 TCP 54 57194 → 80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0
   45   5.260498 140.82.113.3 → 10.0.2.15    TCP 60 80 → 57194 [ACK] Seq=1 Ack=2 Win=65535 Len=0
   46   5.288267 140.82.113.3 → 10.0.2.15    TCP 60 80 → 57194 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0
   47   5.288325    10.0.2.15 → 140.82.113.3 TCP 54 57194 → 80 [ACK] Seq=2 Ack=2 Win=64240 Len=0
   48   5.293284    10.0.2.15 → 140.82.113.3 TCP 74 48012 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1882385674 TSecr=0 WS=128
   49   5.330399 140.82.113.3 → 10.0.2.15    TCP 60 443 → 48012 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460
   50   5.330499    10.0.2.15 → 140.82.113.3 TCP 54 48012 → 443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
   51   5.869778    10.0.2.15 → 65.55.44.109 TCP 74 55908 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1233726993 TSecr=0 WS=128
   52   5.905685 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55908 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460
   53   5.905830    10.0.2.15 → 65.55.44.109 TCP 54 55908 → 443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
   54   5.906227    10.0.2.15 → 65.55.44.109 TLSv1 571 Client Hello
   55   5.906836 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55908 [ACK] Seq=1 Ack=518 Win=65535 Len=0
   56   5.940158 65.55.44.109 → 10.0.2.15    TCP 2894 [TCP segment of a reassembled PDU]
   57   5.940215    10.0.2.15 → 65.55.44.109 TCP 54 55908 → 443 [ACK] Seq=518 Ack=2841 Win=62480 Len=0
   58   5.940757 65.55.44.109 → 10.0.2.15    TLSv1.2 980 Server Hello, Certificate, Server Key Exchange, Server Hello Done
   59   5.940792    10.0.2.15 → 65.55.44.109 TCP 54 55908 → 443 [ACK] Seq=518 Ack=3767 Win=63900 Len=0
   60   5.941846    10.0.2.15 → 65.55.44.109 TLSv1.2 147 Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   61   5.942287 65.55.44.109 → 10.0.2.15    TCP 60 443 → 55908 [ACK] Seq=3767 Ack=611 Win=65535 Len=0
   62   5.970784 65.55.44.109 → 10.0.2.15    TLSv1.2 105 Change Cipher Spec, Encrypted Handshake Message
   63   5.970826    10.0.2.15 → 65.55.44.109 TCP 54 55908 → 443 [ACK] Seq=611 Ack=3818 Win=63900 Len=0
   64   5.972224    10.0.2.15 → 65.55.44.109 TLSv1.2 1350 Application Data
   65 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   66 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   67 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   68 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   69 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   70 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   71 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   72 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   73 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   74 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   75 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   76 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   77 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   78 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   79 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   80 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   81 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   82 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   83 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   84 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   85 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   86 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   87 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   88 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   89 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   90 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   91 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   92 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   93 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   94 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   95 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   96 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   97 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   98 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
   99 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  100 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  101 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  102 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  103 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  104 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  105 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  106 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  107 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  108 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  109 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  110 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  111 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  112 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  113 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  114 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  115 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  116 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  117 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
  118 -1614839302.384289              →              Ethernet 0 [Malformed Packet]
